time,user,text,hashtag,user_mentions,retweeted,retweet_count,favorited,favorite_count,in_reply_to_user_id
08-03-2023,intelcapital,"For a third year in a row, @Immuta has been awarded as one of @Forbes’ “America’s Best #Startup Employers” - congratulations! This year they ranked 28th among the list of 500 employers. See the full #AmericasBestEmployers list below. https://t.co/CdFmDJgwGA","['Startup', 'AmericasBestEmployers']","[{'user_id': 3362905589, 'screen_name': 'immuta'}, {'user_id': 91478624, 'screen_name': 'Forbes'}]",False,1,False,9,
08-03-2023,intelcapital,Cybersecurity company @jupiterone announced integration abilities with @tines_io to streamline #workflows for incident response. Read about how to improve your #vulnerability management and reduce your attack surface with JupiterOne and Tines below. https://t.co/yy84m15D2v,"['workflows', 'vulnerability']","[{'user_id': 968524585741180928, 'screen_name': 'jupiterone'}, {'user_id': 991259543584804865, 'screen_name': 'tines_io'}]",False,0,False,2,
08-03-2023,intelcapital,Learn more about how SecurityScorecard’s ratings continue to make the world a safer place: https://t.co/EQBvdyzs3p,,,False,1,False,1,27994823
08-03-2023,intelcapital,SecurityScorecard Co-founder &amp; CEO Aleksandr Yampolskiy (@ayampolskiy) shared that Intel Capital has been a great partner who “understands what it takes to build a great enterprise #software company.”,['software'],"[{'user_id': 87010499, 'screen_name': 'ayampolskiy'}]",False,1,False,1,27994823
08-03-2023,intelcapital,"Intel Capital's Managing Director Sunil Kurkure is on the board of directors and believes SecurityScorecard’s rating technology is transforming the way companies understand, improve and communicate #cybersecurity risk.",['cybersecurity'],,False,0,False,1,27994823
08-03-2023,intelcapital,"SecurityScorecard’s patented #technology measures #security risk for any company in the world &amp; is used by over 30,000 organizations for enterprise #riskmanagement, third-party risk management, board reporting, due diligence, cyber insurance underwriting, &amp; regulatory oversight.","['technology', 'security', 'riskmanagement']",,False,0,False,1,27994823
08-03-2023,intelcapital,Take a look #InsideIntelCapital with some insights from @security_score 🧵 https://t.co/Ncd8AGTCyD,['InsideIntelCapital'],"[{'user_id': 2314468920, 'screen_name': 'security_score'}]",False,1,False,3,
08-03-2023,intelcapital,Our portfolio company @alkymi_inc appointed former @LSEGplc Data &amp; Analytics CEO Andrea Remyn Stone as its newest board member. Learn more below on how her #financialservices experience will accelerate the company's mission to unlock data and supercharge businesses' workflows. https://t.co/PJuSiezawr,['financialservices'],"[{'user_id': 889488813797650432, 'screen_name': 'alkymi_inc'}, {'user_id': 214455056, 'screen_name': 'LSEGplc'}]",False,0,False,2,
07-03-2023,intelcapital,"As a part of its Society 5.0 project, Japan's @RIKEN_en scientific research institute chose @SambaNovaAI's DataScale to pair with @Fujitsu_Global's Fugaku #supercomputer, enabling 'digital twin' development through advanced #AI systems. Learn more below. https://t.co/VcIXYfyUu9","['supercomputer', 'AI']","[{'user_id': 43093791, 'screen_name': 'riken_en'}, {'user_id': 974314016758644738, 'screen_name': 'SambaNovaAI'}, {'user_id': 32379204, 'screen_name': 'Fujitsu_Global'}]",False,2,False,6,
04-03-2023,intelcapital,"Silicon #photonics #startup @AyarLabs announced the public demo of its 4 terabit-per-second optical solution, which can transform how #semiconductor, AI, HPC, and aerospace customers process their data-intensive workloads. Learn about this #milestone and industry impact below. https://t.co/jj0MixDChc","['photonics', 'startup', 'semiconductor', 'milestone']","[{'user_id': 3219677252, 'screen_name': 'AyarLabs'}]",False,0,False,5,
