time,user,text,hashtag,user_mentions,retweeted,retweet_count,favorited,favorite_count,in_reply_to_user_id
14-03-2023,sequoia,RT @BogieBalkansky: Trailblazing first year for @cyera_io : 800% revenue growth since announcing  the $60M series A; 20  Fortune 500 custom…,[],"[{'user_id': 61841869, 'screen_name': 'BogieBalkansky'}, {'user_id': 1507969503308701696, 'screen_name': 'cyera_io'}]",False,2,False,0,
09-03-2023,sequoia,"RT @stephzhan: We're so excited to share our latest Sequoia Arc cohort. 

Special people + small, intimate community + a focus on iterating…",[],"[{'user_id': 1258886893, 'screen_name': 'stephzhan'}]",False,2,False,0,
09-03-2023,sequoia,"14/ Learn more about the latest Arc cohort here👇

https://t.co/wqVO7oVgAL",[],[],False,0,False,11,24775410
09-03-2023,sequoia,"13/ Drawing from experience working at Dropbox, Facebook and Apple, founders @colin_dunn, @adammenges and Zach Stiggelbout are designers building for designers. ""We are our own customers. We've been thinking about this problem for a long time.""",[],"[{'user_id': 30732254, 'screen_name': 'colin_dunn'}, {'user_id': 220907584, 'screen_name': 'adammenges'}]",False,0,False,10,24775410
09-03-2023,sequoia,"12/ Generative AI is revolutionizing the way we create, and Visual Electric is taking advantage of this paradigm shift to build a new class of design tool, accelerating the work of existing designers, but also expanding the market and empowering others to create work of their own",[],[],False,0,False,9,24775410
09-03-2023,sequoia,"11/ Design should be accessible, and Visual Electric is democratizing the process by providing better-designed tools. Artists and designers get a familiar, moodboard-like environment powered by AI, combining inspiration images with text prompts to create new concepts.",[],[],False,0,False,7,24775410
09-03-2023,sequoia,"10/ Founder @DevinBhushan is an AR veteran, and has seen first-hand how clunky user experiences and high barriers to entry can hold back products from breaking through in this space, which is why it's top priority to make @SquintAI simple and seamless.",[],"[{'user_id': 35883404, 'screen_name': 'DevinBhushan'}, {'user_id': 1486592860182831104, 'screen_name': 'SquintAI'}]",False,0,False,8,24775410
09-03-2023,sequoia,"9/ In manufacturing, experienced operators are retiring and complex new machines are constantly being introduced, so the need for more intuitive digital tools has never been greater. AR is an opportunity to fundamentally change how we interact with this kind of information.",[],[],False,0,False,9,24775410
09-03-2023,sequoia,"8/ @SquintAI is a mobile app that uses computer vision techniques and AR to revolutionize training in industries like manufacturing. It creates seamless guides that show workers the right thing at the right time, eliminating the need to navigate multiple sources of information.",[],"[{'user_id': 1486592860182831104, 'screen_name': 'SquintAI'}]",False,0,False,13,24775410
09-03-2023,sequoia,"7/ Founders @_mayankkishore, @_amankishore and @SreeTrips worked together on 3D software, developing infrastructure and AI algorithms for autonomous vehicles. With Mirage they aim enable anyone to unleash their creativity, replacing complex  software with AI-augmented tools.",[],"[{'user_id': 1018262735379992576, 'screen_name': '_mayankkishore'}, {'user_id': 1018263371366457344, 'screen_name': '_amankishore'}, {'user_id': 772234465057931264, 'screen_name': 'SreeTrips'}]",False,9,False,53,24775410
09-03-2023,sequoia,"6/ AI can aid in the creative process, but designers often struggle to retain control over their AI-assisted creations. @mirage_ml  redesigns the 3D canvas from the ground up to give designers the control they need.",[],"[{'user_id': 1451011939375599622, 'screen_name': 'mirage_ml'}]",False,8,False,42,24775410
09-03-2023,sequoia,"5/ Creating in 3D is time-consuming and requires years of experience and training. @mirage_ml democratizes 3D with generative AI, allowing you to enter prompts to search assets, generate models, and add VFX—so you can build an environment in minutes, with no complex software",[],"[{'user_id': 1451011939375599622, 'screen_name': 'mirage_ml'}]",False,5,False,24,24775410
09-03-2023,sequoia,"4/ Tanda's founder, @jessechor, previously built the app at Yahoo where it worked well. After five years of thinking about it non-stop, he's bringing it back. ""I always said that if I ever did another startup I would bring it back, better than before.""",[],"[{'user_id': 12576432, 'screen_name': 'jessechor'}]",False,0,False,8,24775410
